X,Y,Z,Collision_state
81.052956042899,-691.11070363352,55.794114547941,0
18.985803464279,94.476470845068,281.74628499597,0
361.09997007205,-416.45263025335,49.985628818347,0
-119.62521874731,1243.0410609253,-177.81934289052,0
899.1952258984,29.369005063481,-606.50062566557,1
-311.89110852826,-703.00997149924,-853.33232754086,0
-1245.0953891767,-484.13995219837,-321.71833224786,0
75.687043396076,-259.88237374452,-574.73222625867,0
-348.09270862842,-343.04139661414,-0.75446543022645,0
430.87494979704,-274.12745929278,296.48113956191,1
-34.194646765374,273.61500555912,1089.3495809147,1
603.2209198601,-562.14461973657,193.01818830555,0
408.7239969113,211.88748521537,411.27346505616,1
-111.20891477715,-301.63960691774,331.80203861468,0
479.38803677038,-155.72710043505,-626.28726379479,0
-196.95662476327,-152.91015549019,-610.48705595921,0
394.07188520513,-863.59059923851,-509.53181290862,1
1145.9357462995,436.39549182457,1030.2552108507,1
-53.428373897904,330.70983266332,-120.99539244973,0
-276.11491843862,144.05104758411,700.60426181055,1
84.217977728629,-451.4095750385,-659.20309977199,0
712.93478841172,119.47290967132,46.535893588137,1
926.91627114043,3.0913793152194,-22.286622468179,1
-538.60513176702,-102.01736330539,1111.1633112587,1
258.69048797613,922.0310760717,211.58592296889,0
-257.119749627,125.9374828944,245.5097508247,1
152.64072707189,-588.28158262142,-635.17932315341,0
-244.83240651146,303.87325831382,686.40440249038,1
-1164.3473865196,-210.58535917742,610.28907220042,0
936.61254292575,499.9654543865,969.08420037787,1
-298.07716011552,-401.08509481525,431.189960309,1
61.287346428234,340.30762602127,688.50931355097,1
-18.224195914912,286.69560473771,817.71716646001,1
634.09508736445,317.78967018686,-164.52831941816,0
453.67919377479,-37.276297801504,597.29017879649,0
-927.88516367141,329.0983027474,-541.27235916282,0
-342.37114793417,957.40484973474,-195.2622753978,0
308.78359643596,-828.2796830121,139.53870368485,1
567.58098454188,743.75767335862,-764.14989493527,0
536.41457259714,-258.99651184049,136.13155336049,0
-177.4918973557,-180.56161534798,172.85214789014,1
-73.276282234288,523.79245958949,1148.5837535268,1
-853.09865967271,138.74522434464,-52.605822936222,1
179.08243058688,-122.18385612495,205.28932117561,1
-422.71497509062,-1003.1940522979,-484.96372186845,0
133.55708113597,698.15601440877,192.60140494129,0
-298.60430382286,41.040031536863,777.27713229643,1
525.4478180443,113.79501047059,945.14074759956,1
-489.22038016199,-83.815203319904,429.83762115599,1
-455.20269541195,797.53947952898,429.10807134036,0
136.72198285272,-584.110607757,-644.65249649513,0
-450.87613404154,560.57695930519,1002.1779207832,1
-900.84667445497,-578.98664920144,137.495940344,0
587.91398745738,-1155.3415248051,467.33571825239,1
-823.81711039797,-137.69279803206,664.87552580232,0
210.71201277926,-269.08692114504,-58.733516531516,0
-172.39609487208,202.17532835126,-190.43109536465,0
-126.22879139795,-901.41247429315,-139.68903290614,0
-263.40492459915,302.9530084447,-108.05041606945,0
984.73164051479,599.0483207368,1143.6083573839,0
-116.66882312145,444.93378378307,208.88732822086,1
-38.022677030672,513.91076064857,-78.503111751986,0
384.8115994459,-875.07020038456,910.53281768479,1
118.51728966414,-90.917577689086,-725.74304399979,0
-26.103998597124,-103.62862006007,-810.85826024034,0
-1081.3739592445,-419.71689190569,567.97029219052,0
84.799287431388,381.45687815052,606.06016440715,1
-153.61902966991,65.758361868696,-739.22617669027,0
75.048628457837,-17.559944355581,-857.12862800932,0
988.94219187951,181.80205247238,244.56357863085,1
498.28390125708,-438.02878683187,-60.156770884878,0
-43.213734886086,-44.870119594196,-101.17355020191,0
541.93632495171,382.56239204342,973.0584337342,1
-581.04955778865,-815.12848682839,586.73484784729,1
-248.03245913996,-454.09229917255,196.84665484129,0
-1283.1977778293,-72.258601055183,79.733690549106,0
-737.52546104702,-742.28907072,724.17077256509,1
-38.865819036862,-313.58399191508,-214.98087608816,0
-422.81286978002,-135.15898471333,-709.94246339718,0
-1118.7068668459,-410.73061551222,247.88424700356,0
211.75268371447,119.93904415318,1040.7382548169,1
-440.91810868243,573.48449566209,748.03800194049,1
114.1788513645,243.57783130201,1242.9769548353,1
-856.62010920426,-87.192265389088,-193.43696943333,1
323.27123066768,237.71378789128,-854.40954971282,0
-456.76169233433,35.3899340802,-334.58291023446,0
-459.12304180898,-1025.7961417945,-784.58342551822,0
-511.58199858029,-24.04045198438,107.26960359922,0
996.9606262186,82.383774469585,890.33027592151,1
-1.0950846353411,-80.432526269659,-386.32029049245,0
-267.91095956678,-405.72578560891,1339.8901805723,0
250.8315598968,10.561368012066,342.41951728362,0
-249.48480363725,870.63293559135,673.19842954428,1
1116.057621269,300.02769436535,-495.93819206956,0
-206.53866733248,-1045.1876761738,134.11539067512,0
-1030.3996186267,207.65020804755,-646.08082048014,0
-670.40953382576,1130.1378140537,-354.47495196993,0
302.94356637188,-450.35271419771,-557.90716256392,1
929.38844946035,352.22109827152,-614.81288318106,1
-48.773697361454,209.738070465,-419.11636387729,0
156.08233724585,-241.93106683187,207.84286481576,0
-368.45228467346,-369.11713913285,1289.9477481316,1
539.05715935808,-806.40905861597,-251.37874383132,1
